key	value
2041	U28018
2042	U28019
2043	U28020
2044	U28021
2045	U28022
2046	U28023
2047	U28024
2048	U28025
2049	U28026
2050	U28027
2051	U28028
2052	U28029
2053	U28030
2054	U28031
2055	U28400
2056	U28401
2057	U28402
2058	U28403
2059	U28404
2060	U28405
2061	U28406
2062	U28407
2063	U28408
2064	U28409
2065	U28410
2066	U28411
2067	U28412
2068	U28413
2069	U28414
2070	U28415
2071	U28416
2072	U28417
2073	U28418
2074	U28419
2075	U28420
2076	U28421
2077	U28422
2078	U28423
2079	U28424
2080	U28425
2081	U28426
2082	U28427
2083	U28428
2084	U28429
2085	U28430
2086	U28431
2087	U28432
2088	U28433
2089	U28800
2090	U28801
2091	U28802
2092	U28803
2093	U28804
2094	U28805
2095	U28806
2096	U28807
2097	U28808
2098	U28809
2099	U28810
2100	U30200
2101	U30201
2102	U30202
2103	U30203
2104	U30400
2105	U30401
2106	U31000
2107	U31001
2108	U31002
2109	U31003
2110	U31402
2111	U31403
2112	U31404
2113	U31405
2114	U31406
2115	U31407
2116	U31408
2117	U31409
2118	U31410
2119	U31411
2120	U31412
2121	U31413
2122	U31414
2123	U31415
2124	U31416
2125	U31800
2126	U31801
2127	U31802
2128	U31803
2129	U31804
2130	U31805
2131	U31806
2132	U31807
2133	U33000
2134	U33001
2135	U33002
2136	U33003
2137	U33004
2138	U33005
2139	U33006
